2,abcd,50,HR,IT,India
3,xyz,32,Finance,Finance,India
4,Anil,45,Delivery Manager,Operations,India
5,Swapnil,35,Quality Analyst,Quality,India
6,Georgil,42,Manager,Operations,USA
7,Sunil,26,Associate,Operations,India
8,Saril,30,Lead Associate,Operations,UK
9,Vinil,36,Manager,Admin,Australia
10,Anil,45,Delivery Manager,Operations,India
11,Swapnil,35,Quality Analyst,Quality,India
12,Georgil,42,Manager,Operations,USA
13,Sunil,26,Associate,Operations,India
14,Saril,30,Lead Associate,Operations,UK
15,Vinil,36,Manager,Admin,Australia
17,Anil,45,Delivery Manager,Operations,India
18,Swapnil,35,Quality Analyst,Quality,India
19,Georgil,42,Manager,Operations,USA
20,Sunil,26,Associate,Operations,India
21,Saril,30,Lead Associate,Operations,UK
22,Vinil,36,Manager,Admin,Australia
